DEPTH	LITH
4451.5	a
4451.6	a
4451.7	a
4451.8	a
4451.9	a
4452	a
4452.1	a
4452.2	a
4452.3	a
4452.4	a
4452.5	a
4452.6	a
4452.7	a
4452.8	a
4452.9	a
4453	a
4453.1	a
4453.2	a
4453.3	a
4453.4	a
4453.5	a
4453.6	a
4453.7	a
4453.8	a
4453.9	a
4454	a
4454.1	a
4454.2	a
4454.3	a
4454.4	a
4454.5	a
4454.6	a
4454.7	a
4454.8	a
4454.9	a
4455	a
4455.1	a
4455.2	a
4455.3	a
4455.4	a
4455.5	a
4455.6	a
4455.7	a
4455.8	a
4455.9	a
4456	a
4456.1	a
4456.2	a
4456.3	a
4456.4	a
4456.5	a
4456.6	a
4456.7	a
4456.8	a
4456.9	a
4457	a
4457.1	a
4457.2	a
4457.3	a
4457.4	y
4457.5	y
4457.6	y
4457.7	y
4457.8	y
4457.9	y
4458	y
